# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.4871004027722345,2.934522297616024,-0.009824143997059233,1.0,0.0,-0.02854521937967767,0.0,0.0,0.0
 0.011849455438869935,2.4990902676290525,2.9345202417899054,-0.009824143997059233,1.02369891087774,2.000000000000002,-0.02854521937967767,0.0,-1.6946271449196377,0.0
 0.02341132567220621,2.5110598168602905,2.9345140962989955,-0.029417203140509232,1.0468226513444125,2.0000000000000084,-0.028460620027180517,0.0,-1.7269123416288301,0.0
 0.03470420401757497,2.523008982457125,2.934503894124461,-0.04891901412763951,1.06940840803515,1.9999999999999962,-0.028375687907457623,0.0,-1.7581071459734157,0.0
 0.045744728082993985,2.5349376964107333,2.9344896682474695,-0.06832943838234413,1.091489456165988,1.9999999999999976,-0.02829041471241306,0.0,-1.7882685876336493,0.0
 0.056547856401749086,2.5468458907122926,2.9344714516491894,-0.0876483334029494,1.1130957128034982,1.999999999999995,-0.02820479078802958,0.0,-1.817448023004839,0.0
 0.06712709667878393,2.558733497352979,2.934449277310788,-0.10687555272933955,1.1342541933575678,1.9999999999999973,-0.02811880743725118,0.0,-1.8456918784669165,0.0
 0.07749469561049517,2.5706004483239697,2.934423178213433,-0.12601094587680126,1.1549893912209903,2.0,-0.028032455774354537,0.0,-1.873042277032255,0.0
 0.08766179790279213,2.5824466756164415,2.934393187338293,-0.14505435830518504,1.1753235958055843,2.000000000000008,-0.02794572612039684,0.0,-1.899537561757005,0.0
 0.09763858038600776,2.594272111221571,2.9343593376665336,-0.16400563137753243,1.1952771607720156,2.0000000000000058,-0.02785860857625732,0.0,-1.9252127355062245,0.0
 0.10743436583482953,2.6060766871305363,2.934321662179325,-0.18286460227789067,1.2148687316696591,1.9999999999999971,-0.02777109392974096,0.0,-1.9500998487816097,0.0
 0.11705772012620501,2.617860335334512,2.9342801938578327,-0.20163110402627385,1.2341154402524102,2.0000000000000058,-0.02768317215165628,0.0,-1.9742283100124283,0.0
 0.1265165356236424,2.629622987824677,2.9342349656832254,-0.22030496536049904,1.253033071247285,2.000000000000009,-0.0275948332928768,0.0,-1.9976251761748196,0.0
 0.13581810310247291,2.6413645765922067,2.934186010636671,-0.23888601073409982,1.271636206204946,1.999999999999994,-0.027506067178147308,0.0,-2.0203153878906894,0.0
 0.1449691740845161,2.6530850336282787,2.9341333616993364,-0.2573740602548016,1.2899383481690323,1.999999999999994,-0.027416863399135977,0.0,-2.0423219779019433,0.0
 0.15397601510078007,2.6647842909240693,2.9340770518523898,-0.2757689296137862,1.3079520302015604,2.0000000000000124,-0.027327211625222753,0.0,-2.0636662590245325,0.0
 0.162844455124544,2.6764622804707563,2.934017114076999,-0.2940704300610106,1.3256889102490883,2.000000000000006,-0.027237100968423595,0.0,-2.084367979694967,0.0
 0.17157992719726703,2.6881189342595153,2.9339535813543307,-0.312278368336914,1.3431598543945344,2.000000000000013,-0.02714652060909087,0.0,-2.1044454654066076,0.0
 0.1801875050936359,2.6997541842815242,2.9338864866655543,-0.33039254660906164,1.3603750101872722,2.0000000000000067,-0.02705545980226883,0.0,-2.1239157479169175,0.0
 0.1886719357300042,2.711367962527959,2.933815862991836,-0.34841276244975306,1.3773438714600088,1.9999999999999936,-0.026963907225481972,0.0,-2.1427946659189705,0.0
 0.19703766790528238,2.722960200989997,2.9337417433143442,-0.3663388087314458,1.394075335810565,1.9999999999999933,-0.02687185062358653,0.0,-2.161096974642294,0.0
 0.20528887786932198,2.734530831658815,2.9336641606142457,-0.3841704736218702,1.4105777557386443,2.0,-0.02677927978907684,0.0,-2.1788364202078587,0.0
 0.21342949213674614,2.74607978652559,2.9335831478727097,-0.4019075404705976,1.4268589842734927,2.0000000000000067,-0.02668618259731455,0.0,-2.196025831019902,0.0
 0.22146320790060675,2.7576069975814983,2.933498738070903,-0.41954978780710733,1.4429264158012138,1.9999999999999931,-0.026592546288225282,0.0,-2.2126771747916996,0.0
 0.22939351134758604,2.769112396817717,2.9334109641899926,-0.43709698923341034,1.4587870226951722,1.999999999999979,-0.026498359164896602,0.0,-2.2288016292943156,0.0
 0.23722369413262245,2.7805959162254235,2.933319859211147,-0.4545489133823718,1.4744473882652451,2.000000000000007,-0.026403608907210042,0.0,-2.2444096362780432,0.0
 0.24495686823419852,2.7920574877957938,2.9332254561155344,-0.4719053238549649,1.4899137364683974,2.0000000000000213,-0.026308282897852527,0.0,-2.2595109528383657,0.0
 0.25259597938076356,2.803497043520005,2.933127787884321,-0.4891659791605783,1.5051919587615274,1.9999999999999927,-0.026212367857828028,0.0,-2.2741146938538974,0.0
 0.2601438192128307,2.814914515389234,2.933026887498676,-0.5063306326295379,1.5202876384256618,2.0000000000000147,-0.026115851609431102,0.0,-2.288229380250451,0.0
 0.2676030363233523,2.8263098353946576,2.932922787939766,-0.5233990323755003,1.5352060726467052,2.000000000000015,-0.02601871988055135,0.0,-2.3018629706987546,0.0
 0.2749761463003398,2.837682935527453,2.932815522188759,-0.5403709212104173,1.5499522926006803,2.00000000000003,-0.02592095985746422,0.0,-2.3150228987097856,0.0
 0.2822655408798233,2.8490337477787957,2.932705123226823,-0.5572460365796527,1.5645310817596472,1.9999999999999696,-0.025822557312751127,0.0,-2.3277161033213014,0.0
